date,daily_air_temp,daily_precip,mean_barom,mean_windspeed
6/10/1988,NA,0,NA,NA
6/11/1988,NA,11.43,NA,NA
6/12/1988,NA,1.524,NA,NA
6/13/1988,NA,0.508,NA,NA
6/14/1988,NA,NA,NA,NA
6/15/1988,NA,NA,NA,NA
6/16/1988,NA,0,NA,NA
6/17/1988,NA,0,NA,NA
6/18/1988,NA,2.286,NA,NA
6/19/1988,NA,11.43,NA,NA
6/20/1988,NA,0.254,NA,NA
6/21/1988,NA,0.254,NA,NA
6/22/1988,NA,4.8260000000000005,NA,NA
6/23/1988,NA,0.762,NA,NA
6/24/1988,NA,1.778,NA,NA
6/25/1988,NA,0,NA,NA
6/26/1988,NA,0.508,NA,NA
6/27/1988,NA,0.508,NA,NA
6/28/1988,NA,3.048,NA,NA
6/29/1988,NA,0,NA,NA
6/30/1988,NA,0.508,NA,NA
7/1/1988,NA,0,NA,NA
7/2/1988,NA,0,NA,NA
7/3/1988,NA,0,NA,NA
7/4/1988,NA,0,NA,NA
7/5/1988,NA,0,NA,NA
7/6/1988,NA,0,NA,NA
7/7/1988,NA,0.254,NA,NA
7/8/1988,NA,0,NA,NA
7/9/1988,NA,0,NA,NA
7/10/1988,NA,0.762,NA,NA
7/11/1988,NA,6.8580000000000005,NA,NA
7/12/1988,NA,0,NA,NA
7/13/1988,NA,0,NA,NA
7/14/1988,NA,0,NA,NA
7/15/1988,NA,6.8580000000000005,NA,NA
7/16/1988,NA,0,NA,NA
7/17/1988,NA,4.318,NA,NA
7/18/1988,NA,0.762,NA,NA
7/19/1988,NA,1.524,NA,NA
7/20/1988,NA,0,NA,NA
7/21/1988,NA,0,NA,NA
7/22/1988,NA,0,NA,NA
7/23/1988,NA,0,NA,NA
7/24/1988,NA,0,NA,NA
7/25/1988,NA,0,NA,NA
7/26/1988,NA,0,NA,NA
7/27/1988,NA,0,NA,NA
7/28/1988,NA,0,NA,NA
7/29/1988,NA,0.508,NA,NA
7/30/1988,NA,0.508,NA,NA
7/31/1988,NA,9.906,NA,NA
8/1/1988,NA,11.684000000000001,NA,NA
8/2/1988,NA,0,NA,NA
8/3/1988,NA,9.906,NA,NA
8/4/1988,NA,0.254,NA,NA
8/5/1988,NA,0,NA,NA
8/6/1988,NA,0,NA,NA
8/7/1988,NA,4.318,NA,NA
8/8/1988,NA,5.588,NA,NA
8/9/1988,NA,0,NA,NA
8/10/1988,NA,0.254,NA,NA
8/11/1988,NA,2.032,NA,NA
8/12/1988,NA,14.986,NA,NA
8/13/1988,NA,0,NA,NA
8/14/1988,NA,2.286,NA,NA
8/15/1988,NA,0.254,NA,NA
8/16/1988,NA,1.27,NA,NA
8/17/1988,NA,0,NA,NA
8/18/1988,NA,0.254,NA,NA
8/19/1988,NA,0.762,NA,NA
8/20/1988,NA,1.524,NA,NA
8/21/1988,NA,3.556,NA,NA
8/22/1988,NA,1.27,NA,NA
8/23/1988,NA,4.318,NA,NA
8/24/1988,NA,0,NA,NA
8/25/1988,NA,NA,NA,NA
8/26/1988,10.533333333333333,NA,NA,3.5448333333333335
8/27/1988,9.133333333333333,NA,NA,2.8966666666666665
8/28/1988,4.875,NA,NA,2.2975
8/29/1988,1.12,NA,NA,3.2912
8/30/1988,-2.5416666666666665,NA,NA,3.792145833333333
8/31/1988,-5.525,NA,NA,2.588041666666667
9/1/1988,-5.158333333333333,NA,NA,1.4352083333333334
9/2/1988,1.7833333333333334,NA,NA,2.3839166666666665
9/3/1988,5.233333333333333,NA,NA,3.2015416666666665
9/4/1988,2.3291666666666666,NA,NA,1.8835833333333334
9/5/1988,-0.012500000000000002,NA,NA,2.0649166666666665
9/6/1988,-0.9874999999999999,NA,NA,1.8815
9/7/1988,2.5125,NA,NA,3.48075
9/8/1988,4.258333333333334,NA,NA,3.0689583333333332
9/9/1988,3.1166666666666667,NA,NA,2.9505833333333333
9/10/1988,2.966666666666667,NA,NA,2.9147916666666664
9/11/1988,-1.9166666666666667,NA,NA,2.081541666666667
9/12/1988,-0.5791666666666667,NA,NA,1.2952083333333333
9/13/1988,1.6875,NA,NA,2.1353750000000002
9/14/1988,2.466666666666667,NA,NA,2.9635416666666665
9/15/1988,1.9875,NA,NA,2.2652916666666667
9/16/1988,3.720833333333333,NA,NA,2.3735416666666667
